school_name,address,city,county,zip_code,school_nurse,school_type,enrolled,num_immune_mmr,num_exempt_mmr,num_compliance_mmr,num_pbe,num_medical_exempt,num_pbe_exempt_all
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,PUBLIC,59,58,1,59,5,2,5
ACACIA ELEMENTARY SCHOOL,3021 W EVANS DR,PHOENIX,MARICOPA,85053,YES,PUBLIC,134,134,0,134,2,0,0
ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,NO,CHARTER,53,52,1,53,1,0,1
ACADEMY OF MATH AND SCIENCE,1557 W PRINCE RD,TUCSON,PIMA,85705,NO,CHARTER,42,40,2,42,0,7,0
ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,NO,CHARTER,113,113,0,113,3,0,0
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,3335 W FLOWER ST,PHOENIX,MARICOPA,85017,NO,CHARTER,56,55,1,56,6,6,0
ACADEMY OF TUCSON MIDDLE SCHOOL,2300 N TANQUE VERDE LOOP RD,TUCSON,PIMA,   NA,NO,CHARTER,75,73,2,75,4,0,1
ACCLAIM ACADEMY,7624 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,NO,CHARTER,44,39,0,44,0,0,0
ACORN MONTESSORI MIDDLE SCHOOL,8456 E LOOS DR,PRESCOTT VALLEY,YAVAPAI,   NA,NO,CHARTER,45,44,1,45,23,0,2
ADAMS ELEMENTARY SCHOOL,738 S LONGMORE,MESA,MARICOPA,85202,YES,PUBLIC,106,105,1,106,4,0,1
ADAMS TRADITIONAL ACADEMY,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027,NO,CHARTER,53,46,7,53,9,1,10
AGUA CALIENTE SCHOOL,11420 E LIMBERLOST RD,TUCSON,PIMA,85749,YES,PUBLIC,87,84,3,87,3,0,3
AIRE LIBRE ELEMENTARY SCHOOL,16428 N 21ST ST,PHOENIX,MARICOPA,85022,YES,PUBLIC,54,54,0,54,1,0,0
AJO ELEMENTARY SCHOOL,111 WELL RD,AJO,PIMA,85321,NO,PUBLIC,31,30,0,30,1,1,0
ALFRED F GARCIA SCHOOL,1441 S 27TH AVE,PHOENIX,MARICOPA,85009,YES,PUBLIC,39,39,0,39,0,0,0
